epoch,learning_rate,loss,masked_accuracy,val_loss,val_masked_accuracy
0,9.999999747378752e-05,9.241004943847656,0.0,9.146828651428223,0.0
1,9.999999747378752e-05,9.169760704040527,0.0,9.083806991577148,0.02166065014898777
2,9.999999747378752e-05,9.097249031066895,0.0014194464311003685,9.027576446533203,0.06137184053659439
3,9.999999747378752e-05,9.029483795166016,0.034066714346408844,8.977662086486816,0.072202168405056
4,9.999999747378752e-05,8.969629287719727,0.05677785724401474,8.933025360107422,0.072202168405056
5,9.999999747378752e-05,8.919602394104004,0.0752306580543518,8.8920259475708,0.072202168405056
6,9.999999747378752e-05,8.869109153747559,0.06884314864873886,8.853653907775879,0.06498195230960846
7,9.999999747378752e-05,8.824457168579102,0.0752306580543518,8.817326545715332,0.06498195230960846
8,9.999999747378752e-05,8.773774147033691,0.07310149073600769,8.782652854919434,0.06498195230960846
9,9.999999747378752e-05,8.720993041992188,0.07594038546085358,8.749403953552246,0.06498195230960846
